# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Dec 20 01:18:08 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	2.0000e+09 yr
	Z	log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	mbol	U	B	V	R	I	J	H	K	int_IMF	stage
	0.019000	9.3010	1.70829797	1.7082	1.6143	3.6732	2.7009	0.734	3.138	2.204	1.151	0.526	0.040	-0.675	-1.244	-1.320	3.24926615	3
	0.019000	9.3010	1.70870638	1.7086	1.6635	3.6701	2.6397	0.611	3.078	2.113	1.046	0.412	-0.081	-0.807	-1.386	-1.463	3.24930000	3
	0.019000	9.3010	1.70905507	1.7090	1.7066	3.6675	2.5860	0.504	3.029	2.035	0.955	0.313	-0.186	-0.922	-1.509	-1.588	3.24932885	3
	0.019000	9.3010	1.70944953	1.7094	1.7559	3.6643	2.5241	0.380	2.976	1.948	0.852	0.201	-0.306	-1.054	-1.651	-1.732	3.24936128	3
	0.019000	9.3010	1.70982647	1.7098	1.8044	3.6611	2.4629	0.259	2.935	1.866	0.752	0.090	-0.425	-1.185	-1.791	-1.874	3.24939251	3
	0.019000	9.3010	1.71016288	1.7101	1.8479	3.6582	2.4081	0.150	2.907	1.797	0.663	-0.009	-0.531	-1.303	-1.917	-2.002	3.24942017	3
	0.019000	9.3010	1.71051228	1.7104	1.8911	3.6553	2.3534	0.042	2.882	1.730	0.577	-0.107	-0.636	-1.420	-2.042	-2.129	3.24944901	3
	0.019000	9.3010	1.71088910	1.7108	1.9364	3.6523	2.2958	-0.071	2.858	1.660	0.486	-0.208	-0.747	-1.542	-2.173	-2.262	3.24948001	3
	0.019000	9.3010	1.71133173	1.7112	1.9833	3.6490	2.2361	-0.188	2.834	1.589	0.393	-0.313	-0.861	-1.669	-2.309	-2.400	3.24951649	3
	0.019000	9.3010	1.71172953	1.7116	2.0079	3.6473	2.2049	-0.250	2.824	1.553	0.346	-0.367	-0.920	-1.735	-2.380	-2.472	3.24954939	3
	0.019000	9.3010	1.71211874	1.7120	1.9729	3.6499	2.2503	-0.162	2.834	1.602	0.412	-0.291	-0.836	-1.640	-2.278	-2.369	3.24958134	3
	0.019000	9.3010	1.71231711	1.7122	1.9291	3.6531	2.3067	-0.053	2.854	1.668	0.499	-0.193	-0.729	-1.521	-2.150	-2.239	3.24959755	3
	0.019000	9.3010	1.71245575	1.7124	1.8850	3.6562	2.3634	0.058	2.874	1.734	0.586	-0.094	-0.622	-1.402	-2.022	-2.108	3.24960899	3
	0.019000	9.3010	1.71258628	1.7125	1.8383	3.6594	2.4230	0.174	2.899	1.805	0.679	0.010	-0.508	-1.276	-1.886	-1.970	3.24961972	3
	0.019000	9.3010	1.71270680	1.7126	1.7953	3.6624	2.4780	0.282	2.925	1.873	0.766	0.108	-0.403	-1.159	-1.761	-1.843	3.24962974	3
	0.019000	9.3010	1.71285713	1.7128	1.7457	3.6658	2.5411	0.406	2.968	1.957	0.868	0.221	-0.282	-1.025	-1.617	-1.697	3.24964213	3
	0.019000	9.3010	1.71304500	1.7130	1.6953	3.6692	2.6052	0.532	3.019	2.044	0.972	0.335	-0.160	-0.889	-1.471	-1.549	3.24965739	3
	0.019000	9.3010	1.71312022	1.7130	1.6821	3.6701	2.6220	0.565	3.032	2.067	0.999	0.366	-0.127	-0.854	-1.433	-1.510	3.24966359	3
	0.019000	9.3010	1.71332479	1.7132	1.7087	3.6684	2.5887	0.498	3.002	2.019	0.943	0.305	-0.192	-0.925	-1.509	-1.587	3.24968052	3
	0.019000	9.3010	1.71376467	1.7137	1.7604	3.6650	2.5234	0.369	2.949	1.929	0.837	0.187	-0.318	-1.064	-1.658	-1.739	3.24971652	3
	0.019000	9.3010	1.71423090	1.7141	1.8051	3.6620	2.4671	0.257	2.910	1.853	0.744	0.085	-0.427	-1.185	-1.787	-1.870	3.24975491	3
	0.019000	9.3010	1.71472871	1.7146	1.8512	3.6590	2.4089	0.142	2.880	1.780	0.650	-0.020	-0.540	-1.309	-1.921	-2.005	3.24979568	3
	0.019000	9.3010	1.71519971	1.7151	1.8941	3.6561	2.3546	0.035	2.856	1.713	0.564	-0.117	-0.645	-1.425	-2.045	-2.131	3.24983430	3
	0.019000	9.3010	1.71567619	1.7156	1.9375	3.6532	2.2995	-0.074	2.832	1.646	0.477	-0.215	-0.751	-1.542	-2.171	-2.259	3.24987316	3
	0.019000	9.3010	1.71614993	1.7160	1.9813	3.6501	2.2438	-0.183	2.809	1.579	0.389	-0.313	-0.857	-1.661	-2.298	-2.388	3.24991202	3
	0.019000	9.3010	1.71659744	1.7165	2.0235	3.6472	2.1899	-0.289	2.792	1.517	0.308	-0.406	-0.959	-1.774	-2.420	-2.512	3.24994850	3
	0.019000	9.3010	1.71702957	1.7169	2.0655	3.6442	2.1362	-0.394	2.776	1.456	0.227	-0.499	-1.061	-1.887	-2.541	-2.637	3.24998379	3
	0.019000	9.3010	1.71743464	1.7173	2.1064	3.6413	2.0838	-0.496	2.762	1.398	0.149	-0.588	-1.159	-1.997	-2.660	-2.757	3.25001693	3
	0.019000	9.3010	1.71782339	1.7177	2.1472	3.6384	2.0315	-0.598	2.749	1.340	0.072	-0.677	-1.257	-2.107	-2.778	-2.878	3.25004864	3
	0.019000	9.3010	1.71819341	1.7181	2.1877	3.6355	1.9792	-0.699	2.743	1.286	-0.003	-0.763	-1.354	-2.216	-2.896	-2.998	3.25007892	3
	0.019000	9.3010	1.71853399	1.7184	2.2267	3.6327	1.9291	-0.797	2.742	1.235	-0.074	-0.846	-1.448	-2.321	-3.008	-3.113	3.25010657	3
	0.019000	9.3010	1.71886230	1.7187	2.2662	3.6298	1.8782	-0.895	2.742	1.184	-0.147	-0.930	-1.542	-2.428	-3.122	-3.229	3.25013328	3
	0.019000	9.3010	1.71916878	1.7190	2.3050	3.6269	1.8279	-0.993	2.745	1.137	-0.215	-1.010	-1.634	-2.532	-3.235	-3.344	3.25015831	3
	0.019000	9.3010	1.71945727	1.7193	2.3435	3.6240	1.7779	-1.089	2.748	1.090	-0.282	-1.088	-1.726	-2.635	-3.346	-3.458	3.25018191	3
	0.019000	9.3010	1.71972656	1.7196	2.3814	3.6212	1.7288	-1.183	2.751	1.044	-0.349	-1.167	-1.816	-2.737	-3.455	-3.570	3.25020385	3
	0.019000	9.3010	1.71997619	1.7198	2.4182	3.6184	1.6808	-1.276	2.753	1.001	-0.412	-1.240	-1.903	-2.835	-3.561	-3.680	3.25022411	3
	0.019000	9.3010	1.72021401	1.7200	2.4554	3.6155	1.6324	-1.368	2.757	0.958	-0.473	-1.312	-1.991	-2.935	-3.668	-3.790	3.25024343	3
	0.019000	9.3010	1.72043407	1.7203	2.4917	3.6127	1.5848	-1.459	2.761	0.917	-0.533	-1.383	-2.076	-3.032	-3.773	-3.898	3.25026131	3
	0.019000	9.3010	1.72064078	1.7204	2.5277	3.6099	1.5376	-1.549	2.767	0.878	-0.592	-1.453	-2.160	-3.129	-3.876	-4.005	3.25027800	3
	0.019000	9.3010	1.72083688	1.7206	2.5635	3.6071	1.4905	-1.639	2.767	0.838	-0.646	-1.516	-2.244	-3.225	-3.980	-4.112	3.25029397	3
	0.019000	9.3010	1.72101533	1.7208	2.5981	3.6043	1.4449	-1.725	2.762	0.797	-0.698	-1.576	-2.324	-3.318	-4.080	-4.215	3.25030851	3
	0.019000	9.3010	1.72118187	1.7209	2.6321	3.6016	1.4000	-1.810	2.758	0.758	-0.750	-1.636	-2.403	-3.409	-4.179	-4.317	3.25032210	3
	0.019000	9.3010	1.72134089	1.7211	2.6662	3.5988	1.3549	-1.895	2.753	0.719	-0.799	-1.692	-2.482	-3.500	-4.277	-4.420	3.25033498	3
	0.019000	9.3010	1.72148669	1.7212	2.6991	3.5961	1.3111	-1.978	2.748	0.683	-0.843	-1.742	-2.558	-3.588	-4.373	-4.519	3.25034690	3
	0.019000	9.3010	1.72162592	1.7213	2.7322	3.5933	1.2668	-2.060	2.745	0.649	-0.886	-1.791	-2.634	-3.677	-4.469	-4.619	3.25035810	3
	0.019000	9.3010	1.72175419	1.7215	2.7640	3.5905	1.2240	-2.140	2.745	0.617	-0.927	-1.839	-2.707	-3.763	-4.562	-4.716	3.25036860	3
	0.019000	9.3010	1.72187376	1.7216	2.7951	3.5878	1.1821	-2.218	2.741	0.587	-0.961	-1.877	-2.777	-3.847	-4.653	-4.810	3.25037813	3
	0.019000	9.3010	1.72198915	1.7216	2.8268	3.5851	1.1394	-2.297	2.737	0.557	-0.994	-1.915	-2.849	-3.933	-4.745	-4.907	3.25038767	3
	0.019000	9.3010	1.72211874	1.7217	2.8640	3.5819	1.0895	-2.390	2.734	0.522	-1.033	-1.959	-2.934	-4.033	-4.853	-5.020	3.25039816	3
	0.019000	9.3010	1.72223759	1.7218	2.9003	3.5786	1.0399	-2.481	2.732	0.494	-1.062	-1.995	-3.015	-4.132	-4.960	-5.131	3.25040770	3
